"","Intercept","PE Estimate Coefficient","Intercept Std. Error","PE Estimate Std. Error","Intercept p-value","PE p-value","sigma"
"83",0.00367124811895082,0.000144382170596261,0.000100123089989375,1.41050119770557e-05,1.35913919839007e-110,2.37825419135509e-12,0.00459080815425072
"84",0.00366949043494486,0.000143598850165117,9.81867352853964e-05,1.402848768034e-05,1.90850862306409e-111,4.69452653536864e-12,0.00456590152064188
"85",0.00366792170372867,0.000142722827612562,9.66232030334244e-05,1.39429071093809e-05,1.97827882203883e-112,7.50203780986519e-12,0.00453804730941229
"86",0.00366678939992372,0.000141930589307967,9.53532815656838e-05,1.38655116059828e-05,2.40391753075537e-113,1.07075654503413e-11,0.00451285712108208
"87",0.00366527341381957,0.000141119334293007,9.44748062543278e-05,1.37862583183006e-05,2.81197552327619e-114,1.25887944486733e-11,0.00448706227312768
"88",0.00366377069570306,0.000140257889585227,9.37107624227511e-05,1.37021018890779e-05,2.7631306471613e-115,1.37918490682721e-11,0.00445967158234794
"89",0.0036623165365923,0.000139438160756837,9.30301862939971e-05,1.36220207759139e-05,2.95918450876646e-116,1.47185066846244e-11,0.00443360729910503
"90",0.00366009383210998,0.000138708120481555,9.22025199886835e-05,1.35507015348741e-05,4.38533054105489e-117,1.73966541941321e-11,0.00441039477338347
"91",0.00365708628779804,0.000138004747873179,9.11636768250057e-05,1.34819875169002e-05,7.52986110367194e-118,2.30321307709147e-11,0.00438803017883091
"92",0.00365416657164919,0.000137373203320801,8.99003964472278e-05,1.34202905397835e-05,1.56096789388095e-118,3.48674453665902e-11,0.00436794944539367
"93",0.00365137468537615,0.00013677187823025,8.82991315842759e-05,1.33615457683945e-05,3.44355554003137e-119,6.28109677219873e-11,0.0043488295768001
"94",0.00364952561594993,0.000136175903684905,8.68596029168569e-05,1.33033237035412e-05,6.8306570425572e-120,1.04651713401668e-10,0.00432987983535212
"95",0.00364892575061493,0.000135605241456866,8.52129338424024e-05,1.32475744546686e-05,1.24954901865563e-120,1.93781117410575e-10,0.00431173493007065
