"","Intercept","PE Estimate Coefficient","Intercept Std. Error","PE Estimate Std. Error","Intercept p-value","PE p-value"
"118",-0.289178705070436,0.0246910777717825,-0.00867581144489806,0.00135943407925055,1.76346752902324e-30,2.27214619117525e-10
"119",-0.287927032535786,0.0248106841885325,-0.00897772102646973,0.00136583516701181,5.6285028796042e-30,6.61213518429541e-11
"120",-0.286396100376601,0.0249310327892898,-0.00929633287155322,0.00137226763712418,1.99274318102981e-29,1.73804783520081e-11
"121",-0.284607726500041,0.0250457910123191,-0.00963309796697181,0.00137838068154373,7.48638542478383e-29,4.02910617956442e-12
"122",-0.282327703070186,0.0251616774585964,-0.01000155094402,0.00138455311624419,3.38916382991491e-28,7.7367845200472e-13
"123",-0.28008074032891,0.025281156108225,-0.0103708286031546,0.0013909212041094,1.49334916915037e-27,1.44103619439786e-13
"124",-0.27766339434017,0.0254028096627273,-0.0107510050971983,0.00139740069403794,6.90862231189188e-27,2.46277405865254e-14
"125",-0.275119033558885,0.0255255704252045,-0.0111414913406154,0.00140393621210239,3.27142630635565e-26,3.85777981743889e-15
"126",-0.273036611578,0.025653222268018,-0.0115005146677469,0.00141077525063464,1.27648831787466e-25,7.07728124427481e-16
"127",-0.27165840821495,0.0257803435320005,-0.0118136540240703,0.00141759911417505,3.68381877416469e-25,1.647938133781e-16
"128",-0.270686726279644,0.0259039767232019,-0.0121028174604275,0.0014242378050028,8.80737932450947e-25,4.30763475800601e-17
"129",-0.269769040908896,0.0260304040074051,-0.0123895529213291,0.00143101360501127,2.05590964685083e-24,1.13819836852851e-17
"130",-0.268577763051631,0.0261601744652158,-0.0126949458431984,0.0014379488447085,5.30611244021395e-24,2.69053516175103e-18
"131",-0.267320413513184,0.0262924964012426,-0.0130033320818706,0.00144502431463976,1.39267074585486e-23,6.228046348323e-19
"132",-0.26601473018571,0.0264234063420426,-0.0133135988915985,0.00145201748225712,3.63579761268879e-23,1.40480554697856e-19
"133",-0.264294241888982,0.0265497950105579,-0.0136517689907222,0.00145874922199895,1.06426507574749e-22,2.6037645736296e-20
"134",-0.262103777178164,0.026672230451948,-0.0140187949237135,0.0014652787417947,3.55112663908703e-22,3.92654681832925e-21
"135",-0.260174396393118,0.0267917409525019,-0.0143689021505779,0.00147165581416698,1.04616391061445e-21,6.40640223568282e-22
"136",-0.258595132920234,0.0269113804392354,-0.0146971843472637,0.0014780282318996,2.68024057481479e-21,1.18292308077966e-22
"137",-0.257395750650149,0.0270272407819099,-0.0150010890826773,0.00148419417884589,5.86878512125981e-21,2.49368140719629e-23
"138",-0.256313518337319,0.0271427329062644,-0.0152972622980906,0.00149034215937566,1.21876071857733e-20,5.47498135281425e-24
"139",-0.255605992765507,0.0272566375766043,-0.0155707253950852,0.00149637689011519,2.20031476410511e-20,1.37497864019412e-24
"140",-0.255160783602255,0.0273664095239358,-0.0158268273212003,0.00150218892637528,3.57008358136715e-20,3.79590370979727e-25
"141",-0.254705600802434,0.0274694799386367,-0.0160843739655347,0.00150761798186645,5.65972260164796e-20,1.00651027075468e-25
"142",-0.253826754976254,0.0275730047298015,-0.0163695005075195,0.00151308974131778,1.02353544841004e-19,2.21472722668159e-26
"143",-0.252760957371679,0.0276759727656961,-0.016667539743716,0.0015185186729459,1.94508526396581e-19,4.42119512876488e-27
"144",-0.251793799303352,0.0277752576588601,-0.0169605316058078,0.00152374109976635,3.51367381925468e-19,8.92310431824633e-28
"145",-0.250888652603804,0.0278689491055034,-0.0172485796298214,0.00152866820929382,6.08000111336712e-19,1.80731243255481e-28
"146",-0.249926030727985,0.0279625479668767,-0.0175408331778248,0.00153360114478857,1.06310307459594e-18,3.52982415969562e-29
"147",-0.249007241598498,0.0280535136250916,-0.0178317398537461,0.0015383770853337,1.80793428017914e-18,6.81858582288997e-30
"148",-0.248295087017532,0.0281395552624278,-0.018111991622536,0.00154285231782376,2.83155925095524e-18,1.3744299616063e-30
"149",-0.248237128587445,0.0282238362908756,-0.0183513318771006,0.00154721123671162,3.60762710100124e-18,3.64206002612018e-31
"150",-0.248189288224585,0.0283037552652165,-0.0185915790904929,0.00155134226034663,4.52067871925551e-18,9.36991129535556e-32
"151",-0.248212484528024,0.0283742717789169,-0.0188261135029533,0.00155500257473869,5.40189175476479e-18,2.40099671588801e-32
"152",-0.248792046508137,0.02844024083163,-0.0190273711418149,0.00155841127796037,5.40088972915117e-18,7.61508025168056e-33
