,alpha Estimate,Beta Estimate,alpha Std. Error,Beta Estimate Std. Error,alpha p-value,beta p-value
107,6.74E-05,0.000854647,1.25E-05,0.000495586,8.76E-08,0.08492081
108,6.79E-05,0.000897294,1.24E-05,0.000492861,5.88E-08,0.068966831
109,6.88E-05,0.000944165,1.24E-05,0.000490349,3.40E-08,0.054448442
110,6.98E-05,0.000987435,1.23E-05,0.000487914,1.84E-08,0.043255261
111,7.09E-05,0.001035023,1.22E-05,0.000485554,9.34E-09,0.033278189
112,7.21E-05,0.00109213,1.22E-05,0.000483236,4.59E-09,0.024031935
113,7.35E-05,0.001155247,1.21E-05,0.000481058,1.97E-09,0.016509603
114,7.50E-05,0.001208143,1.21E-05,0.000479165,8.02E-10,0.011843758
115,7.61E-05,0.001252008,1.20E-05,0.000477089,3.71E-10,0.008814936
116,7.73E-05,0.001278133,1.20E-05,0.000475117,1.72E-10,0.007260165
117,7.86E-05,0.00130509,1.19E-05,0.000473152,7.11E-11,0.005915554
118,7.99E-05,0.001323083,1.19E-05,0.000471239,2.92E-11,0.0050864
119,8.13E-05,0.001329711,1.18E-05,0.000469472,1.14E-11,0.004712662
120,8.29E-05,0.001344155,1.18E-05,0.000467707,3.91E-12,0.004139193
121,8.48E-05,0.001379906,1.17E-05,0.000465751,1.02E-12,0.003120582
122,8.72E-05,0.001420027,1.17E-05,0.000463855,2.00E-13,0.002261738
123,8.94E-05,0.001453071,1.16E-05,0.000461913,3.95E-14,0.001705041
124,9.17E-05,0.001481037,1.16E-05,0.000460056,7.15E-15,0.00132629
125,9.41E-05,0.001508252,1.16E-05,0.000458334,1.16E-15,0.001033945
126,9.60E-05,0.001520388,1.15E-05,0.00045662,2.45E-16,0.000901026
127,9.75E-05,0.001531754,1.15E-05,0.000454736,6.83E-17,0.000784537
128,9.87E-05,0.001546447,1.14E-05,0.000452741,2.04E-17,0.000661444
129,9.99E-05,0.001547508,1.14E-05,0.000450978,6.67E-18,0.000624733
130,0.000101127,0.001554362,1.13E-05,0.000449157,2.02E-18,0.000561522
131,0.000102377,0.001567797,1.13E-05,0.000447402,5.90E-19,0.00047806
132,0.00010367,0.001583654,1.12E-05,0.000445677,1.63E-19,0.000397948
133,0.000105233,0.001603649,1.12E-05,0.000443908,3.54E-20,0.000318132
134,0.000106929,0.001622595,1.11E-05,0.000441989,6.47E-21,0.000254159
135,0.000108546,0.001642266,1.11E-05,0.000440098,1.21E-21,0.000200903
136,0.000110025,0.001668377,1.11E-05,0.000438168,2.43E-22,0.000148784
137,0.000111374,0.001692214,1.10E-05,0.000436126,5.10E-23,0.000111191
